,brand,model,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,is_exchangeable,number_of_photos,views,duration_listed_days,price_eur,engine_type_automatic,engine_type_manual,engine_fuel_gasoline,engine_fuel_diesel,engine_fuel_petrol,engine_fuel_hybrid-petrol,engine_fuel_hybrid-diesel
24,Subaru,Tribeca,automatic,other,0.09303777678765529,0.4273469849237956,gasoline,0,gasoline,1.3770973809099487,suv,0,owned,all,1,-0.4723079774784062,1.0364211089839452,1.098640643685641,0.045753377395057124,0,0,1,0,0,0,0
25,Subaru,Outback,automatic,green,1.5576896731908103,-0.8776223531864477,gasoline,0,gasoline,-0.0955241074541198,universal,0,owned,front,1,1.3344674146362026,0.14806082401575996,-0.0859014360539306,-0.8064680078293847,0,0,1,0,0,0,0
26,Subaru,Outback,automatic,violet,1.2068748477050246,-0.6166284855643991,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,0.3489535643918705,-0.1480592709736351,-0.5312180073845967,-0.49584525994384054,0,0,1,0,0,0,0
27,Subaru,Impreza,mechanical,black,0.5315563086448873,-0.6166284855643991,gasoline,0,gasoline,-0.0955241074541198,universal,0,owned,all,0,-0.6365602858524616,1.9703383316428065,4.456327591518862,-0.6232802334353458,0,0,1,0,0,0,0
28,Subaru,Forester,mechanical,green,1.7983837249566077,-0.6166284855643991,gasoline,0,gasoline,-0.0955241074541198,universal,0,owned,all,0,-0.6365602858524616,0.07972541747974571,-0.18387108174667713,-0.5117746316302786,0,0,1,0,0,0,0
30,Subaru,Impreza,mechanical,violet,0.8823711341306729,-1.399610088430545,gasoline,0,gasoline,-0.684572702799747,universal,0,owned,all,1,-0.9650649026005722,-0.2619516152003255,0.09222519247833581,-0.7825739502997274,0,0,1,0,0,0,0
35,Subaru,Legacy,mechanical,red,-1.2225178187840409,-1.2691131546195207,gasoline,0,gasoline,-0.0955241074541198,sedan,0,owned,all,1,-0.6365602858524616,0.5808517320771835,0.09222519247833581,-0.830362065359042,0,0,1,0,0,0,0
43,Subaru,Forester,automatic,blue,0.022874811690498164,-0.09464075032030174,gasoline,0,gasoline,0.6407866367279145,suv,0,owned,all,1,1.0059627978880918,-0.30750855289100165,-0.6291876530773431,-0.3365515430794589,0,0,1,0,0,0,0
46,Subaru,Legacy,mechanical,silver,-0.3893326082552999,0.29685005111277124,gasoline,0,gasoline,1.3770973809099487,sedan,0,owned,all,0,0.3489535643918705,-0.10250233328295895,-0.5846559959442765,0.20504709425943876,0,0,1,0,0,0,0
48,Subaru,Outback,automatic,other,0.09303777678765529,0.55784391873482,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,-0.30805566910435084,-0.3530654905816778,-0.709344635916863,0.25283520931875325,0,0,1,0,0,0,0
49,Subaru,Impreza,mechanical,blue,-0.8453918813868212,0.6883408525458442,gasoline,0,gasoline,-0.831834851636154,hatchback,0,owned,front,0,0.3489535643918705,-0.19361620866431128,-0.6202813216507298,-0.07371691025322911,0,0,1,0,0,0,0
50,Subaru,Outback,mechanical,white,1.9654329744823016,-0.22513768413132607,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,0.5132058727659258,-0.0341669267469447,-0.2194964074531304,-0.5993861759056885,0,0,1,0,0,0,0
