fund_symbol,price_date,open,high,low,close,adj_close,volume
FBGX,2021-10-01,0.8494439571012197,0.8482588483586688,0.850185842203075,0.8496418024332001,0.8496418024332001,100
FBGX,2021-10-04,0.804267240159597,0.8027265208339275,0.8052317395956523,0.8045244521060886,0.8045244521060886,200
FBGX,2021-10-05,0.8291406095248876,0.8277956820580099,0.8299825420960749,0.8293651354368314,0.8293651354368314,200
FBGX,2021-10-06,0.8435581086052236,0.8423266691384079,0.8443289970152617,0.8437636885164826,0.8437636885164826,100
FBGX,2021-10-07,0.8785760774215455,0.8776202834897184,0.8635045334234386,0.8630088595611195,0.8630088595611195,400
FBGX,2021-10-08,0.8558108605223692,0.8546758691498162,0.8565213718533538,0.8560003391219567,0.8560003391219567,100
FBGX,2021-10-11,0.8408698604940718,0.8432963522801815,0.8416539956073661,0.8447245340605615,0.8447245340605615,500
FBGX,2021-10-12,0.8406576303800334,0.8394033596668853,0.8414428112856902,0.8408670218027158,0.8408670218027158,100
FBGX,2021-10-13,0.8556693737796769,0.8545332686877907,0.8563805823055697,0.855859038306651,0.855859038306651,100
FBGX,2021-10-14,0.8913947763094597,0.8905398853492286,0.8919299431210228,0.8915374941713413,0.8915374941713413,100
FBGX,2021-10-15,0.9077081977418716,0.9069817186207683,0.9081629779805147,0.907829478176089,0.907829478176089,100
FBGX,2021-10-18,0.9277427205070884,0.9271739440435787,0.9280987779467251,0.9278376736233768,0.9278376736233768,100
FBGX,2021-10-19,0.93988228303008,0.9394090636853663,0.9401785211465901,0.9399612835766061,0.9399612835766061,100
FBGX,2021-10-20,0.9372081835931972,0.9367139149530845,0.9375175986934732,0.9372906981673285,0.9372906981673285,100
FBGX,2021-10-21,0.9551487025665696,0.9547956535379174,0.9553697133524808,0.9552076415480916,0.9552076415480916,100
FBGX,2021-10-22,0.9461925917541526,0.9457690442917035,0.9464577349777554,0.9462632999392407,0.9462632999392407,100
FBGX,2021-10-25,0.9604261580689889,0.9601146507714684,0.960621163484823,0.9604781619589945,0.9604781619589945,100
FBGX,2021-10-26,0.966510088004754,0.966246470638565,0.9666751140395338,0.9665540970171399,0.9665540970171399,100
FBGX,2021-10-27,0.966382749936331,0.966118130222742,0.9665484034465281,0.9664269262833646,0.9664269262833646,100
FBGX,2021-10-28,0.9840119980757803,0.9881213815132761,0.9840907811004111,0.9882296420850348,0.9882296420850348,200
FBGX,2021-10-29,1.0000000000000002,1.0,1.0,0.9999999999999999,0.9999999999999999,100
FBGX,2021-11-01,0.9992642689380006,0.9992584775974676,0.9992678943515234,0.9992652357604103,0.9992652357604103,400
FLGE,2021-10-01,0.8176660346925493,0.8391038986966317,0.8116939798389369,0.8405702900905737,0.8405702900905737,1800
